0.11095, 5.1386e-45
0.13658, 7.7905e-45
0.16467, 1.1330e-44
0.18738, 1.6836e-44
0.21758, 2.3933e-44
0.26061, 3.4338e-44
0.31408, 4.5382e-44
0.37852, 5.6640e-44
0.45618, 6.6507e-44
0.54978, 6.5236e-44
0.64593, 5.0058e-44
0.73982, 3.3818e-44
0.83287, 1.8667e-44
0.93250, 1.0177e-44
1.0042, 6.0692e-45
1.1375, 3.6835e-45
1.3397, 1.9372e-45
1.5740, 1.3278e-45
1.8970, 1.0939e-45
2.2862, 1.0822e-45
2.7956, 1.2407e-45
3.2869, 1.4118e-45
4.0018, 1.5115e-45
4.8228, 1.4829e-45
5.8123, 1.3011e-45
6.6010, 8.9357e-46
7.0049, 5.7212e-46
7.3830, 3.7350e-46
7.3957, 2.2307e-46
7.5606, 1.4889e-46
7.6827, 8.0625e-47
7.7995, 4.1569e-47
8.1914, 2.4980e-47
8.6230, 1.6502e-47
9.0349, 1.0701e-47
9.5760, 7.2404e-48
10.273, 4.7467e-48
10.602, 3.1209e-48
11.392, 2.1411e-48
12.500, 1.3035e-48
14.136, 7.6218e-49
16.120, 5.3043e-49
19.060, 4.2247e-49
22.970, 3.7977e-49
27.683, 3.6965e-49
33.363, 3.7424e-49
40.208, 3.9441e-49
48.458, 4.3286e-49
58.400, 4.7603e-49
70.382, 5.2507e-49
84.822, 5.9228e-49
102.23, 6.6799e-49
123.20, 7.6747e-49
148.48, 8.9121e-49
178.94, 1.0375e-48
215.65, 1.2014e-48
259.90, 1.4166e-48
313.22, 1.6493e-48
377.49, 1.9441e-48
454.94, 2.3345e-48
548.28, 2.7624e-48
660.77, 3.3402e-48
796.34, 4.0202e-48
959.72, 4.7866e-48
1156.6, 5.6992e-48
1393.9, 6.9447e-48
1679.9, 8.3585e-48
2024.6, 1.0091e-47
2440.0, 1.2146e-47
2940.6, 1.4641e-47
3544.0, 1.7513e-47
4271.1, 2.1078e-47
5147.4, 2.5252e-47
6203.5, 3.0393e-47
7476.3, 3.6694e-47
8783.8, 4.2813e-47
